text,bonus_clustering
Ο καπετάνιος γίνεται με την αξιότητά του!,0
Του έβαλε το μαχαίρι στο λαιμό,0
Πηγαίνουν τα μάτια μου κοκορόβι,0
"Γειά σου Γιάννη, τα καράβια! Τα μικρά και τα μεγάλα!",0
Κατής γαμεί τη μάννα σου που να βρης το δίκιο σου;,0
"Αργός και οκνός, ζευγάρι κάνουνε!",0
Εκουρτίστηκε να πάη στο γάμο,0
Άλλος τρώει κι άλλος θρέφεται,0
Η κατσίκα δεγ κάνει αυγά!,0
Όποιος έχει τύχη του γεννάει κι' ο κόκοράς του,0
"Όποιος καρτερεί να φάη, ποτέ του δεμ πεινάει",0
Το λιθάρι που κουνιέται δε μαλλιάζει,0
Ήρθε κι άλλος απ' την Κώ και γυρεύει μερδικό,0
Αυτός τρώει έναμ περίδρομο,0
Ας πή πώς θέλ' ο Γούμενος και ας λέη ο Κελλάρης όχι!,0
Κ' εγώ κακά 'παντρεύτηκα κι' όπου με πηρ' ας κλαίη!,0
Τον εκάθησαν στο σκαμνί!,0
"Ο γέρος κι' αν επαινεύτηκε, ο ανήφορος του δείχνει",0
Νηστικό αρκούδι δε χορεύει!,0
Ο σκλάβος τον αφέντη του κι αφέντης το παιδί του!,0
Του ακριβού ή ζήτα του ή κλέβε τον,0
Άλλη μάννα δεν έκαμε παρά η Μαργιά το Γιάννη,0
Η γκαμήλα την καμπούρα του παιδιού της κύτταζε,0
Σάβαν βασταίνει κερί κρατεί! (ασθενικός) και τον Αϊ – Γιαννη περικαλεί,0
Ξένος πόνος 'ξέγδαρμα!,0
Θορυβούν σαν τα καβούργια στην κανάτα,0
Ο μοναχός έφυγε κι' απ' την Παράδεισο!,0
Ο αφωρισμένος στην εκκλησιά δε μπαίνει,0
Άφησε τα κώλα εν τη ερήμω,0
"Το Μάρτη ξύλα φύλαγε, μηγ κάψης τα παλούκια",0
"Στη λάσπη πέτρα μη ρίνης, γιατί θα λασπωθής!",0
Από είναι αβδέλλα νηστική ή αχόρταγη,0
Χαίρετ' ο νιος τη νιότη του κι' ο γέρος τη στολή του,0
Τα νερά τρέχουν στα νερά!,0
Ξεπλώθηκε μακρύς πλατύς!,0
Πετάει με τους αέρες,0
Τον πιάνει το μάτι,0
Αυτός είναι θαρρετός,0
Του αχάριστου τη χάρι όποιος κάνει τήνε χάνει,0
Όπου φτύνουν πολλοί γίνεται λίμνα,0
Τι κουδούνια μου κολλήσανε!,0
Να μην ιδής τον ήλιον,0
Έμαθα και βελονιάζω 'ς τημ πομπή του μάστορή μου,0
Ο κακός άνθρωπος είναι χειρότερος κι' απ' το λύκο,0
Πάει γυρεύοντας να βρη το μπελά μου,0
"Άλλαι μεν βουλαί ανθρώπων, αλλά δε Θεός κελεύει",0
Το κακό δεν αργεί να 'ρθη!,0
Γελάει ο μουρλός τ' αγέλαστα,0
Το κακό έπιασε ρίζαις μέσα του!,0
Αύτος φέρνει αναποδιαίς,0
Ο κοιμισμένος χρωστάει δέκα πόρδους του έξυπνου,0
Ο μουρλός είχε χουλιάρι κ' έτρωγε ο φρόνιμος,0
"Να 'χα πουτάνας ριζικό, να χ' ακαμάτρας μοίρα!",0
Του έδειξε το δρόμο,0
Αυτός είναι θεοκατάρατος!,0
Τον έρρεψε στον κόπανο!,0
Στο θυμό σου μέτρα ως τα είκοσι και πάλε ξανάρχιζε,0
"Έμαθα και βελονιάζω, στην πομπή του μάστορή μου",0
Στάσου για να ιδούμε τι καιρό φυσάει,0
Η νύφη λέει: Μάμου – Μάμου πεθερά!,0
Ο διάολος κάνει το καλάμι ντουφέκι,0
"Παν οι Μανιάτες στη βουλή, πάνε τσ' οι βλάχοι (Λάκωνες) στη βοστσή!",0
Εγλύτωσε απ' του λύκου το στόμα,0
Αράπης χήρευσαι και παρηγορούμενος ότι γρήγορα θα παντρευτή “τι με κάνεις απόψε” είπεν,0
Κάθε μουστακαλής δεν είν' και παληκάρι!,0
Το 'κοψα δίπλα!,0
"Για καλό και για κακό, ας τα περδικλόνουμε",0
Βαρεί τον τοίχο ν' ακούσουν τα ποντίκια,0
Της νύχτας τα καμώματα τα βλέπ' η μέρα και γελάει,0
"Κάλλιο κόρη 'μπαλωμένη, παρά νύφη αναγαλασμένη",0
Αυτά είναι κουρούνας μαντάτα,0
Να την Άγιο γδυμνοκόλη και την Κυργιακή θα γνέσω,0
Γρόσα να ΄ν΄ το βιός τ΄οχτρού σου,0
Απόμεινε Γιώτα Παναγιώτα,0
Τά ριξε τ' αυτιά!,0
"Τι έχεις γέρο και χορεύεις, δε μ' αφινούν οι δαιμόνοι",0
Πάνε σώνοντας 'ς πιθυμειόνται,0
Άσπρα και τιμή προγόνων!,0
Αγρία πουλιά στους κάμπους γύρευε κυνήγαετα,0
Από κάτου απ' το γαμπα φασκελώνουν τον παππά,0
Ο επιβλέπων επί την γην,0
"Ο γέροντας τα νειάτου, χτεσινά του φαίνονται",0
"Πρώτα εκειός που ορίζει, κι απ' ακλούθα οι άλλοι",0
Θέλει ο βασιλιάς και τον ορίζουν άλλοι,0
Ο Θεός είν' η αλήθεια!,0
"Του κακού γυρίζει η σβίγα, του κακού σε τρώει η μύγα",0
"Όπως γνοιάζεσαι για το παιδί σου, έτσι θα να γνοιάζεσαι και για το δουλευτή σου",0
Αξίζει ο χειρότερος νοικοκύρης για τον καλύτερον παραμπάτη,0
Ομικρό κ΄είετό ξερό,0
Άδικος είν' άθεος είναι,0
Το ότι σπείρη ο καθείς αυτό θέλει θερίσει,0
Τι θα πή ειν πολλοί σα σερνονται απ' τη μύτη! Που ένας τσου σερνει ούλους,0
"Άξιος είναι να δουλέψη, άξιος έιν' να βασιλέψη",0
"Τ' ακριβού το τίποτε, σε χαροκόπου χέρια",0
"Όποιος κάθεται, τι κάνει!",0
"Από μοναχά τους τ' άσπρα, τ' είναι!",0
"Α δεν τιμάς τη γυναίκα σου, τα μούτρα σου γανώνεις",0
"Τη γίδαν εγαμούσαν, και τον τράγο έτσουζ' ο κώλος",0
"Κάνει πως κλοτσά κ' γαιδούρα, α μη δα λές κ' δε θέλει",0
Νειάζ' η γάτα; Γκρίνια θα λθη,0
"Όποιος πεθάνει με πολλούς, θάνατο δε φοβάται",0
"Λιγουλάκια ή λιγωφάρια, ως εκεί που δε δικάνε",0
Οι δύο ένας γένονται κι' ο μοναχός κουβάρι,0
"Τα λόγια γυρίζουν τα μυαλά, σαν το νερό τσου μύλους",0
Ο πεθαμένος δε μπορεί,0
"Α δεν του τα βγάλλης τα μάτια του κουτού, δε βλέπει",0
Μην ακούης ένα και να κρένης δύο,0
Που καιρός για κέντημα!,0
Το διάφορο ξυπνά τον ναύτη,0
"Τά σκούπρα ομπρός, καί τό φροκάλι πίσω",0
Α δεν τα 'κανες γυναίκα δεν εμαθεύονταν,0
"Α' δεν εννόγα ο λύκος, δεν εκίναε λάου λάου κι' από πίσω",0
"Όποιος κατηφρονάει το δούλο του, ο Θεός τονε σκοτώνει",0
Τα σχαρίκια είν' εκεινού που το πρωτόπε,0
"Ναν τονε σχορέσης σώχε χάρι σαν τον πιάσης τον οχτρό σου, κι όχι ναν τονε σκοτώσης",0
Αύριο θα ιδούμε ποιός θα ξημερώση,0
"Άνθρωπος που αδίκησε δεν είναι καλός άνθρωπος, καμώνεται 'τ είναι άπραγος, για συβαστής δεν κάνει",0
"Α δεμ ήτανε κ' η σίτα, άχνη και συνάδια ένα",0
"Α δεν τα σάξη ο Θεός, ποιός θαν τα σάξη!",0
"Και τση μάννας μας το γάλα, ως κ' εκείνο, η γης θαν του το δώση!",0
"Οι σφάχταις τση γειτόνισας, τα ρεματκιά μου εμένα δε μου τα γιατρεύουνε",0
"Ο κουτός όθε ιδή κουτάλι, χάσκει",0
"Ποιος παιναη τη νύφη μας, η μσοχλιάμην η μάννα της",0
Ούλοι απά σ' εκείονε που πρωτοσκοντάψη,0
Πότε επλούτηνες πτωχέ μου; Όταν έτρωγα τό ξένο και εδούλευα δικό μου,0
"Ναν το θέλουν μοναχά, κι απε το δίκηο, μες στα χέρια τους το βρίσκουν οι ανθρώποι",0
Άνθος χαρέτων,0
Τ' άρματα σου και εις του κάπου,0
Α' βλέπης κύτταξε να πης και νόγ' α' θε ν' ακούσης,0
"Τη βαριέται τη ζωή τσ' η γναίκα, σήντας νοιώθη, που δεν έχει έναν ναν την ορίζει",0
Τα πάχυα μην τα χαίρεσαι,0
"Να' χα τα λεν τα χείλη σου, μα όχι τα λε' η καρδιά σου",0
Τα βγάλε στο διάπλατο,0
"Βηύχει γυναίκα στο πλευρό, έχει μεγάλον θησαυρόν",0
Οι πολλοί πήραν την πόλι,0
"Τόνε θέ', μα 'ναν τον αγαπήσ' η δούλα, τον αφέντη τσ', είναι αδύνατο",0
Ο κουτσός ο γαϊδαρος γέρον αφέντη θέλει,0
"Α θα ζυμώσης το ταχύ, από βραδύς κοσκύνα",0
Ξέρ΄ η κλόσσω και τα βγάνη,0
Όσος αρχηνήσω έτσι σώνει ο άνθρωπος,0
"Θα φάη ο άρρωστος, για να πιάση δύναμη",0
"Θέλοντας ο σκύλος (για να θελήση ο σκύλος) ν' αλυχτήση, του πεσ' η χαψά απ' το στόμα",0
Τα που τ' αρέσουν θυμάεται να σ' έχω σαν τα μάτια του,0
Ποιά πορδ' είν που βρωμάει,0
"Άφσ' τσ' οχθρούς σου να μιλούνε, να ξέρης τι θα κάμης",0
"Οποίο δάχτυλο μου κόψης, πάντα δαχτυλάκι μου είναι",0
Λόγο σου 'παν; Νόγ' α θέλης,0
Τ' ανάσκελα κοιμάται; Λίγ' είν' η ζωή του,0
Πως θα σ' ακούση ο Θεός που δεν του λές τι θέλεις!,0
"Ποτέ σωστόνε λόγο, δε σου σου λε ο μπερδέσης",0
Μικρός είναι λίγα έχει,0
"Δώσε πτώχεια, δώσε τρέλλα, δώσε πλούτη, δώσε γνώση",0
"Καί περνούν, καί αλησμονείονται ούλα!",0
"Αγγαστρολογιούντ' οι σκύλες, μαύρα φίδια στα τσακάλια",0
Άσχημ' είναι καλλίτερα γιατί ποιός την τηράει,0
Απ' ο Νάχες κιάλλια ο Νάχας,0
"Να πηδάς, μα να 'χης και το νου σου!",0
Αφύσικος φορεί βρακί κάθε λίγο και το λεί',0
"Ομοίος τον ομοίον αγαπά, και ο γέρος την κουρκούτη",0
"Τ' άγουρα, μήτε τρώγονται, μήτε λιάζονται",0
Ο ζήλος του οίκου σου κατέφαγέμε,0
"Α δεν αδειάσης, δε γιομήζεις",0
"Να σε λεν, μα νάσαι κηόλα",0
"Πρώτη σου έγνοια, τ΄ειν που κάνει ο χθρός σου",0
Τ' άσπρα πέρνουνε τα κάστρα,0
"Γεια σου, Γιαννη. Κουκιά σου σπέρνω",0
Ξερό καρβέλι κι όρεξη,0
Οι γάιδαροι απαντείονται και δε χαιρετειόνται,0
Τον λαγόν με τ' αμάξι τον πιάνουν,0
"Άλλα τα λεγόμενα, κι άλλα τα γενόμενα",0
"Κάμω γάμο φαν παιδιά μου, φάω εγώ κι η φαμελιά μου",0
"Α δεν ψηστή, δεν καίεται",0
Να δουλεύη ο άνθρωπος και να νηστεύη μήτε ο διάολος δεν το θέλει,0
Τα φέρ' ο διάολος κ' έφτανε,0
Τ' άσπρα είναι καλοί δούλοι και κακοί αφεντάδες,0
"Οπέχει σειέται, κι όποιος δεν έχει ξυέται",0
"Να σου ιδώ χρυσό στεφάνι, πες μου ο άνδρας σου τι κάνει",0
"Αν ετράζαν ούλοι το νερό στο Ήλιο, ήθελ' α' ψοφήση ο κόσμος ούλος απ' τη δίψα",0
Το βουτζί θέλεις γεμάτο και την ταβερναριά μεθυσμένη,0
"Θεμελιακόνε κάλλια παρά προκομένου, τόνε θέ τον άνδρα τσ' η γυναίκα",0
"Πολυπαιδούσα, ανέβγλατη, και χιλιοστερεμένη!",0
Ηθέλησε ο Εβραίος να καβαλλικεύση κι ευρέθηκε Σάββατο,0
"Ντροπή είν' να κλέφτη ένας, όχι να δουλεύη",0
Λόγο ρίχτεις; Πέτρα ρίχτεις,0
"Οποίος κοιλιέται στην κροπιά, τον κοτσιλούν κ' η κότταις",0
"Αλουποτσάκαλο αν πιαστή, εκεί θα ναν σειριά καλή",0
Α δεν ήτανε κι' ο Θεός!,0
"Θα ροζάσουνε τα δαχτυλά σου, για να δουλέψουνε τα δόντια σου",0
"Από ρόδο βγαίνει αγκάθι, και απ' αγκάθι βγαίνει ρόδο",0
Και τα πουλιά που κελαϊδούν το Θεό δοξολογούνε,0
"Οι ρωμιοί δε συμφωνούνε, πάρ' άντας θε να κατουρήσουνε",0
Οπώχει δίκηο σκιάζεται,0
Λόγο δεν ανάσσανε,0
Τα πολλά παινέματα μου κάψανε την κάππα,0
Πρώτα η μετανόησι κ' ύστερα η 'ξομολόγησι,0
"Λούζεις με χτενίζεις με, ξέρω ποιά είν' η μάνα μου",0
"Και ο Γιάννης μούρλιακας, κ' η Γιάννενα μουρλιάκο",0
"Ο παππάς μας μοναχά ήξερε κ΄έκανε τρεις δουλαίς αντάμα – εκατουρα εσήμαινε, κ΄έπαζαριαψε κ΄ένα γαϊδουροφόρι ξύλα",0
Του Θεού θελήματα σκύψε και προσκύνατα,0
λες πως άλλοι δεν είναι!,0
Νειάζει σαν τη γάτα!,0
"Ντράποι πές του γαιδουριού, να ξανακοκκινήση!",0
"Ο παππάς σε θυμιατιζη, μ' αν ο άνεμος τον πάει άλλουθε τον καπνό (τι λιβαινό)",0
"Α δεν αποφάσιζαν οι γιατροί να φύγουν, δεν εγέρενε",0
"Α δε γιομίση το σακκί (το ξεσκί), πως θαν το πης γιομάτο!",0
Κάλλιο το σκεπασμένο τζουκάλι παρά το ξέσκεπο,0
"Όταν θέλουν τα θεμέλια, προσκυνούν τα κεραμίδια",0
Άλλο δεν τη σκάει την άτιμη τη γυναίκα πάρ' ή σήντας βλέπη πως ο άνδρας της δεν τηνε νοιώθη,0
Άλλαις χαραίς δεν του μειναν όξ' απ' τση ξέναις πίκραις,0
"Όποιος βοηθήση άρχοντα κ' ναν' το ξεστομίσω, ν' ασηκωθή ν' αρατιστή να παη αλλού να ζήση",0
"Α δεν έμπ' η δεύτερ' η νύφη, δεν αποζητιέται η πρώτη",0
Να μην ιδώ τη σημερνή αύριο!,0
"Λόγια μασισμένα, λόγια μπερδεμένα!",0
"Νογάει, ακούς, καλλήτες από βόϊδι",0
Νοικοκύρης χωρίς σπήτι,0
Αργυρό το μίλημα χρυσό το σώπα,0
Τα περσινα εδιαβήκανε,0
"Ο πεινασμένος, ότι εύρη τρώει",0
Αγαπημένο ανδρόγυνο ζευγάρι ευλογημένο,0
Λυγά 'δα ο σιδερόπαλος,0
"Άσχημ' είναι, στρίγλα είναι",0
Άφσ' τσου πλούσους να σωδιάζουν για τη φτώχεια απανωτιάζουν,0
Ο καθένας από κείνο πύχει δίνει,0
"Ο Θεός για σε, ο Θεός για με, ο Θεός για ούλον τον κόσμον",0
Πούσας παππά θύμηε!,0
"Να 'σαι καλ' απ' τη μια μεριά, κι' από την άλλη να πατούν η μύγαις να βουλιάζουνε",0
Αν λείψη το εμπόριον κάμνω και τον χαμάλη,0
Η ξένη η ψείρα μ' εξεψείριασε,0
"Πρώτο θεμέλειο του σπητιού, η καλή η νοικοκυρά",0
Τα δάκρυα μαλακώνουν την καρδιά του ανθρώπου,0
Άλλω τάχαν' από τα ροδάκινα εκειός δεν ξέρει,0
Ουκ οίδατε τι τέξεται η επιούσα,0
"Αγαπώ, κυρά, να κλάνης μα να μην το παρακάνης",0
"Λίγο καθ΄ ενού λιγώτερο, να πάρουν ούλα",0
"Αγκόπαιτονε πρώτα, κι' απέ πνίξ' τονε",0
"Οξ΄ από ξυλιαίς, και από τσαγκό καρύδι",0
"Α΄ δεν είχε, ετσώπαινε",0
Όπως λέει ο αφέντης έτσ' είναι,0
Καλό κακό λινάρι τον Μάρτη θε ν' ανθίση,0
Άλλο λέγω του καλού μου κι' άλλος αυτός μου διηγάται,0
"Τα γινήκαν, δεν τα πιάνει ο νόμος",0
"Τ' είν' με δίχως φως τα μάτια. Τ' είν' το φως, με δίχως μάτια",0
Μαχέρι δίχως χέρι πράμμ' αχρείκοτο,0
"Να με θυμηθής κ΄ εμέν αφέντη, να μου το θυμαϊ κουμπάρε, ειδέ μη το ξαστοχάω",0
"Ο θεός ορφανά κάνει, μα δύστυχα δεν κάνει (άμοιρα)",0
"Λες και γιατί βρίσκονται σε κάθε τόπο και πεντ' έξη πομπεμέναις, πως ειν ούλαις άτιμαις ή λυσασμέναις!",0
Α δεν τσακίζει κόκκαλα δεν το 'χει πως ορίζει,0
Και το μυαλό σαν το νερό βράσι βράσι σύνεται,0
"Όποιος περάση από λυγιά και δεν κόψη κλωνάρι, να μη χαρή την νιότη του και ας είναι και παλληκάρι",0
Ποιος τα ξέρει τα καλά της παρ ή εγώ ή η αφεντιά της,0
Ακλουθόντας διάβαινε,0
Τα παραπολλά ούθε κι' αν που κακά είναι,0
"Λίγο εδώ και λίγο εκεί, ετα αδειάζει το πουγγί",0
Και το μυαλό ποιος το 'δωσε,0
Να 'χη ένας για να χαίρεται όχι για να στερεύεται,0
"Αν η ζούρλια ήτανε ψώρα, θα να κόλλαε ούλ' η χώρα",0
Αφσ΄ την την φιλιά του γυρεψούλι,0
"Να σου πέσ' η γλώσσα κάλλια, πάρα να μαντέψης γκιόνη",0
Ο Θεός να σε φυλάττη από νέον πραγματευτήν και από γραίαν πόρνην,0
Και όποιος θε να σε κρεμάση ποιός το λε' μη θαν ο ετός σου κι όποιος θε να σε γλυτώση ποιός το λε' μη θαν ο χθρός σου,0
"Νά 'χαμ' ασκιά και γάϊδαρο και μούστο και βαγένι, Γκατακαϊμένη μάνξα μου, καβαλισμός που ήθελ' α γένη",0
Το ζευγάρι είναι διβάρι,0
"Ιδές μοναχός σου τι μπορείς, να κάμης ότι θέλεις",0
Από το ένα αυτί το βάνει και από τ' άλλο του το βγάνει,0
"Ο άνδρας μου στο μάγκανο, και 'γω στο πανηγύρι",0
Θα βρης την πόρτα του σπητιού κι απέ να πης θε να μπω!,0
Τα λόγια είν' αγέρας κ' η κουλούρα χόρτασι!,0
Από λόγον το λόγο,0
"Τρεις Κεριώτες, δυο κουβέντες",0
Αρνί που το φυλάει ο Θεός λύκος δεν το τρώει,0
"Τί τα θές τ' αλλοιότικα, παρά για να ζουρλαίνεσαι",0
"Τα γέλοια με τα κλάμματα, με τη χαρά κ' η πίκρα",0
Ονειρεύτηκ' η ακαμάτρα πως τση έκαηκε η λεκάνη,0
Εγλυκάθη η γραία στα σύκα κι' όλ' ημέρα τ' αναζητά,0
"Α δε σε νοιώσει η γυναίκα, δε σε λογαριάζει γι άνδρα",0
"Πέντε αφράτα στο κατρίνι και δεν έχης το κατρίνι, στέκα τήραζε τ΄ αφράτα",0
"Από τα χτέ ως τα σήμερα, πάει ο άνδρας μου στο μύλο, πες μου το μπρε γειτόνησαις, να παντρευτώ ή να μείνω",0
"Γυμνή η αλήθεια, ντρέπεται να βγή όξου",0
"Αν κερδίσης στο παγνήδι, θα να χάσης τα μυαλά σου, και αν ει χάσης, θα να χάσης τα μυαλά και τον παρά σου",0
"Καί του χρειαζόμενου ά δέ δίνης, κακά κάνεις, και του αχρείαστου άν του δώσης θέλεις κρέμασμα",0
Τα κέρατα όσο να ξεφυτρώσουν τσούζουνε,0
"Νειό παληό κρασί, δεν κάνει αντάμα!",0
Άνω πάθος είναι ούλη μέρα ο άνδρας μες' στο σπίτι,0
Νειό λάδι και παληό κρασί,0
Χέρι που δεν πάρη τόπος δεν αδειάζει,0
"Άς ακουστή συμπεθεριά,κι' ας πάη πίσω!",0
Τά δόντια πάν να βρούν την όρεξι. Πά κ' όρεξι να βρή τα δόντια!,0
"Είπε ο γάϊδαρος τον πετεινόν, ψωλάρα",0
Να γυρίζει τ' άσπρα κι ούλα αρτένονται,0
Άψε σβύσαι,0
"Ξύλο ροζασμένο, κακοπελεητο",0
Τα πρώτα μπόγηα του χωριού τα παιδιά του προεστού,0
"Άγουρα δαμάσκηνα και πικριαίς ελιαίς, τα κρυφομουρμουρίσματα είναι κακαίς δουλιαίς",0
"Ο κάλπικος παράς, ποτέ δε χάνεται",0
Δεν είναι μιανής λογής οι ατιμίαις,0
Τα 'μαργαριτάρια μεσ' στην πείνα βρίσκονται,0
Από μωρόν και μέθυσσον μαθαίς την πάσ' αλήθεια,0
Άλλο είν' ο στραβός κι άλλο είναι που δε βλέπει,0
"Ξεπεσομένος άρχοντας, ποτέ μην πάρης δούλο",0
"Θε να πάη στον πόλεμο, για να κάμη πλιάτσικα",0
Άλλος χάσκει κι' άλλος μεταλαβαίνει,0
Άνδρας θωριακός και οι κώλοι τσερλισμένοι,0
"Πρώτη χαψά, καλή χαψά",0
"Όποιος κατηφρονάει το δούλο του, οχτρό έχει κι όχι δούλο",0
Ο κόσμος το έχει βούκινο κι' εμείς κρυφό καμάρι,0
Ξέρει ο σκύλος που είν΄ το κούτσο του,0
"Όπου ρίξω τ' άρματα ότι του που, σου Κύριε",0
Αποβδόμαδα θα πή … να πάς καλιά σου,0
Που να βρη κεφαλιού του σκούφια!,0
"Ζήσε, μαύρε μου, να φας χλόη το Μάη",0
"Τα μάτια επίνες κ' επίστεψες, τσ' οχτρούς τσ' κεφαλιού σου",0
Για χαρτί και για μελάνι τον γαμπρό κανείς δεν χάνει,0
"Άγουρα δαμάσκηνα, πικρηές ελιές και τα κρυφομιλήματα, κακές δουλειές",0
Δεν το έχω το πως πνίγομαι αλλά πως μπονατζάρει,0
Όποιος δεν έχει δουλιά παντρεύεται και βρίσκει,0
Τα μοσκάτα η αλουπού θαν τα κατοφεγγίση,0
"Να κλαις το σκύλο το δεμένονε, και να μη λυπάσαι το σκύλο το λυμένονε!",0
Οι κόμποι το κοντήνανε,0
Οποίος πρωτοπάη στο μύλο αλέθει,0
Ο Θεός στέλνει το κρύο κατά τα ρούχα,0
Λάκκον ώρυξε!,0
Οι κουτοί βαστούνε τσου έξυπνους,0
"Ναν και ψέμα, ναν κι' αλήθεια, ναν τα πουμε παραμύθια (κ' έτσ' ειν ούλα παραμύθια)",0
Λίγα λόγι' α θέλης να περνάς για φρόνιμος,0
"Λες κουμπάραι, δεν είν άλλαις!",0
"Απ' την κυρά τον πόνο μου, θα πω και την πομπή μου!",0
Ο ζημιοτής είναι χειρότερος από τον κλέφτη,0
Πρώτος θα ην όποιος γνωρίζει κι' όποιος ξέρει εκειός να ορίζη,0
"Όποιος δουλεύει μ' ευχαρίστησι, δεν τον βαρένει ο κόπος",0
Την Αργύρω βάλε να στα σάσω (Τον Αργύρη),0
"Να ιδής, να πής, τ' είν' τούτο",0
"Έτζι το έχει το λινάρι, να ανθή τον Αλωνάρη",0
"Ανάλατο φαγί, τι τρώς δεν ξέρεις",0
"Και καλά ήμουν, και καλά ήλθα, και καλά στην πόρτα εμβήκα. Κι επειδή άρρωστον με λένε, Δέσποτα, ξαγόρεψέ με",0
"Από όρκους, άπεχε. Από κρίσες άπεχε",0
Και τ' αυγά το καλάθι!,0
Άνδρα μου για ν' αγγαστρωθώ δε με 'φελούν τα βότανα,0
"Να παντρευτή, να κάμη τι!",0
"Όπως πρέπει θ΄αρχινήσης, ει δε μη ποτέ κακά θα σώσης",0
"Θέλει τρούχισμα και ο νους, σαν που και κάθε σύνεργο",0
"Την ευχή μου να ΄χης, κι αν προκόψης πέσμουτο",0
"Θές ψωμί, θέλεις αλέβρι θές σκαφίδι, θέλεις φούρνο θές και ξύλα ναν του κάψης",0
Ναν τονε κλαίς εκειόν που δεν είναι και πολεμάει να κάμη τον καλόνε,0
Ο νους του ανθρώπου τα γεννάη ούλα,0
Τινάζ' η κόττα τα φτερά της; Μουσαφίρη κράζη,0
Σήμερα εδικόν σου και αύριο εδικόν μου,0
"Τ' άδικα πως πλερώνονται, και διπλά και τρίδιπλα",0
"Αδειανή κοιλιά, σαρακοστές δεν ξέρει",0
Απανωτός ο λόγος μια φοβέρα είναι,0
Όλο ο γέρος στο κατάρτι,0
Απ' το μουρλογηεργ' ορμήνιαις!,0
"Αφορμαίς και πρόφασες, όσες θελήσης φκιάνεις",0
"Να δίνης εκεινών οπού πεινάνε, όχι εκείνων οπύ χορεύουνε!",0
"Τα γέλοια χάνουν την τιμή, τα μέτουρα την εντροπή",0
"Τ' είν' το δίκηο, οποίος το βρη, να πέρνη τα σχαρίκια του",0
Οι άνθρωποι στολίζουν την χώραν και το πράγμα στολίζει το σπίτι,0
"Ξένα τρώς, δεν τα χονεύεις, ή θα βγουν με τ' άντερά σου",0
Αγάπαε τον που σε μιή μα' σο μπορείς αλλάργευε,0
Οπώχει μοίρα δεν τη χάνει,0
"Οσού ειν απόξου απ το χορό, πολλά τραγούδια ξέρει",0
"Ντουβάζι για να μπη, τύχην για να ξεφύγη",0
Άχερα και πίττουρα και κάπου κάπου αλέβρι!,0
Α δεν κάτσ' η πέτρα δε μαλιάζει,0
"Άσπρ' αν είναι τα μαλλιά μου, μνί δα οι κρίνοι δεν είναι άσπροι!",0
Λες τι σε καλούν σε θέλουν,0
Πολή δουλιά και λίγα λόγια,0
"Άλλος είν' ο απόξω, κι' άλλος είν ο άντρας",0
Αυτιάστη και ακουρμάστηκε,0
"Τη βαβάσου δε θυμάσαι αφέντη, που εξενόϋφανε",0
"Και του γείτονα που ναν ο γάτος, τι σε βλάβ' αν μπαινοβγαίνη!",0
"Να 'χαν τ' άχερα γαϊδάρους, και τα σκύβαλα κλωσσούραις!",0
Τ' ανάθεμα σκεί μάρμαρα,0
"Όταν δεν έχης, κανένας δεν σου δίνει",0
"Ναι και όχι, ο κομπιομένος (ο φταμούτρης) ένα το 'χει",0
Τα μοσκάτα η αλουπού θεν τα πρωτοδοκιμάση!,0
Προσευχή ειν' κ' η εργασία,0
"Άπλωσ' έπαρ' ούλα, δεν τα βρίσκεις",0
Να ΄χες μάτια να ΄βλεπες κι΄ αυτιά να αφοκραζόσουνε,0
"Όπου λαλούν οι κοκκόροι, αργεί να ξημερώση",0
"Ζαγιάνατα, Θοδωρή, και βάστα, Γιώργο",0
Αδειανός καλόγηρος τ' αρχίδια του έσκαε κ' έρραφτε,0
"Ο παπάς τα εμπρός του εθώρειε, μα τα οπίσω δεν τα εθώρειε",0
Να πεινασεις να σε ιδώ,0
Και τους ερχόμενους προς με ......,0
"Λέμε για τα φετινα, κι' απέ τα περσινα εσταθήκανε",0
"Τ' είν' η ελπίδα, τίποτε!",0
"Πολλών γυναίκα, ούχασι !",0
Εγκαστρώθη το βουνό κι΄έκαμε έν ποντικό,0
Ντάτσο δεν πάζ στον ίδρωτα,0
"Όποιος δεν έχει μαυρομάτα, φιλά και τσιμπομάτα",0
Θα 'ναι και γερά στον πάτο!,0
Και οι κακοί καιροί θα να καλοσυνείζουν,0
Ο νόμος το χαλάει το δίκηο,0
"Οπώχει μοίρα φαίνεται, κ' οι οχτροί τον αγαπούνε",0
"Λησμονήσου, κι' αλησμόνα",0
"Α δεν τα 'κανες γυναίκα, δεν τα 'ξέραν κ' οι γειτονοι",0
Άσπρο σαν το χαλάζι... σαν το χιόνι... σαν το χαρτί... σαν τη ζάχαρι... σαν τον ήλιο... σαν τον κρίνο... σαν το μπαμπάκι,0
"Ναν τσου κλαίς εκείνους, που γελάνε με όλους τσ' άλλους!",0
Α δεν τονε ξεσαμαρώσης το γάϊδαρο δε φαίνουται η πληγαίς του,0
"Αυτά που λες καλόγερε, τα λένε του γρηώνε",0
"Αδελφέ μου και καλέ μου, μα ποτέ καλύτερέ μου",0
Λαός δυσεβής και παράνομος!,0
Α σε σκιάζονται σου δίνουν α μπορής σ' αητάρουνε κι αν έχης σε βοηθούνε,0
"Όποιος δε σε σκένεται, θα ήναι μαγαρισμένος",0
